TEXT,WEIGHT
"CALLABLE 04/01/2033 @100.0, IF THE TENDER PRICE OF ALL OUTSTANDING BONDS CANNOT BE PAID ON THE MANDATORY TENDER DATE, THE BONDS WILL BEAR INTEREST AT A ""STEPPED RATE. FOR ANY SUCH ""FAILED TENDER DATE,"" THE ""STEPPED RATE"" SHALL EQUAL THE FOLLOWING: 0-89 DAYS = SIFMA + 2.50% 90 DAYS AND THEREAFTER = 7.00% THE ""STEPPED RATE"" SHALL NOT EXCEED 7.00%.",1
"CALLABLE 07/01/2031 @100.0, SOFT PUT, MAX RATE 9%",1
On any Business Day beginning 90 days prior to the Mandatory Tender Date at 100% for a Term Interest Rate Period of 7 years; make-whole call prior at MMD,1
On any Business Day beginning 180 days prior to the Mandatory Tender Date at 100% for a Term Interest Rate Period of 10 years; make-whole call prior at MMD,1
"CALLABLE 05/15/2027 @100.0, ** 2026 SERIES B-2 FIXED RATE SOFT PUT BOND HAS 8% MAXIMUM RATE** SUBJECT TO SPECIAL, OPTIONAL, AND MANDATORY REDEMPTION AS DESCRIBED ON PART 1-9 TO 1-13 OF THE PRELIMINARY OFFICIAL STATEMENT. THE 2026 SUBSERIES B-2 BONDS ARE SUBJECT TO MANDATORY TENDER AS FURTHER DESCRIBED ON PART 1-13 TO 1-14 OF THE PRELIMINARY OFFICIAL STATEMENT.",1
"CALLABLE 06/01/2029 @100.0, The 2026 Series E-2 Bonds are also subject to Special Optional Redemption or Special Mandatory Tender at the Option of the Corporation, as further described on pages 20-21 of the POS.",1
"Excluding Extraordinary Events, the Bonds will not be subject to Optional Redemption while in the Term Interest Rate Period. CUSIP: 708692BL1 DENOM: MIN 100K, MULT 5K DAY COUNT: ACT/ACT",1
"Excluding Extraordinary Events, the Bonds will not be subject to Optional Redemption while in the Term Interest Rate Period. CUSIP: 708692BM9 DENOM: MIN 100K, MULT 5K DAY COUNT: ACT/ACT",1
"CALLABLE 01/01/2031 @100.0, PRIOR TO 1/1/2031, SUBJECT TO MAKE-WHOLE CALL AT T + 5 BPS.",1
CALLABLE 09/01/2030 @100.0,1
"The Series 2026B Bonds are subject to redemption prior to the maturity date, at the option of the Borrower, out of amounts prepaid on the applicable Obligation, on any Business Day, in whole or in part in such amounts as are designated by the Borrower at a Redemption Price equal to the principal amount of the Bonds of the applicable Series called for redemption, plus interest accrued thereon, if any, to the date fixed for redemption, without premium.",1
"The Series 2026C Bonds are subject to redemption prior to the maturity date, at the option of the Borrower, out of amounts prepaid on the applicable Obligation, on any Business Day, in whole or in part in such amounts as are designated by the Borrower at a Redemption Price equal to the principal amount of the Bonds of the applicable Series called for redemption, plus interest accrued thereon, if any, to the date fixed for redemption, without premium.",1
"The Class B Certificates may only be sold or transferred to ""Qualified Institutional Buyers"" (as defined in Rule 144A under the Securities Act). Please see ""The Initial Class B Purchaser"" section of the Preliminary Official Statement.",1
"CALLABLE 07/01/2036 @100.0, MANDATORY REDEMPTION (NON-ORIGINATION): The Subordinate 2026B Bonds are subject to mandatory redemption due to non-origination, as described on pages 13-15 of the POS. MANDATORY REDEMPTION (EXCESS REVENUES): The Subordinate 2026B Bonds due 2056 are subject to mandatory redemption from excess revenues, as described on page 15 of the POS. OPTIONAL REDEMPTION (EXCESS REVENUES): The Subordinate 2026B Bonds due in 2056 are subject to optional redemption from excess revenues, as described on pages 15-16 of the POS.",1
"MAKEWHOLECALL , Make-whole call at any time at T+ 7.5 basis points. Please refer to the POC for further information on the make-whole call redemption. The Bonds are being issued as multi-modal bonds in the fixed rate mode.",1
Non-Callable during the Term Interest Rate Period,1
"CALLABLE 05/01/2029 @100.0, Subject to Special Redemption or Special Mandatory Tender at the Option of the Agency from Unexpended 2026 Series C-2 Bond Proceeds, as detailed on page 19 of the POS. Amounts on deposit in the 2026 Series C Escrow Fund will be invested and reinvested in Investment Obligations and pledged to the holders of the 2026 Bonds for the payment of principal or Redemption Price on the 2026 Bonds when due, whether at maturity or upon redemption or acceleration. See POS page 12, A-5.",1
CALLABLE 06/01/2032 @100.0,1
CALLABLE 07/01/2031 @100.0,1
"EARLIEST TENDER DATE: 8/20/2026 Subject to mandatory tender, mandatory redemption, or optional redemption as described on pages 3-4 of the Preliminary Official Statement.",1
"CALLABLE 11/01/2029 @100.0, Special Redemption: The 2026 Series E Bonds are subject to special redemption or special mandatory tender as more fully described on pages 34-35 of the POS.",1
"Excluding any extraordinary events, the Bonds will not be subject to optional redemption while in the Term Interest Rate Period until the next Mandatory Tender Date.",1
